PLAYER_ID,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
2544,2,-9,23,1,1
2544,14,-144,41,1,1
2544,25,-66,251,1,0
2544,10,5,109,1,0
2544,29,220,190,1,1
2544,7,-77,17,1,0
2544,7,-16,71,1,1
2544,2,-13,17,1,1
2544,1,-11,5,1,0
2544,33,-188,283,1,0
2544,3,-23,26,1,0
2544,6,-2,68,1,0
2544,1,-16,8,1,0
2544,2,1,21,1,1
2544,26,-127,235,1,0
2544,25,56,251,1,0
2544,20,145,141,1,0
2544,2,0,20,1,1
2544,3,-2,31,1,0
2544,25,-192,163,1,1
2544,16,-92,142,1,0
2544,8,-25,81,1,1
2544,16,-122,113,1,0
2544,28,-99,263,1,0
2544,3,25,21,1,1
2544,9,-40,85,1,0
2544,25,125,218,1,0
2544,0,3,6,1,1
2544,1,-15,9,1,0
2544,1,6,15,1,0
2544,2,17,24,1,1
2544,13,-30,129,1,1
2544,1,12,13,1,1
2544,1,8,11,1,1
2544,14,-144,35,1,1
2544,2,14,16,1,1
2544,11,-67,98,1,0
2544,9,82,41,1,1
2544,8,-65,53,1,0
2544,0,6,-2,1,1
2544,25,-108,236,1,0
2544,3,6,36,1,0
2544,0,0,-6,1,0
2544,2,14,19,1,0
2544,1,-4,10,1,1
2544,27,-111,251,1,0
2544,2,16,17,1,1
2544,28,-78,269,1,0
2544,13,-125,39,1,0
2544,3,-16,28,1,1
2544,2,-12,27,1,1
2544,25,129,225,1,1
2544,21,-96,193,1,0
2544,2,-13,21,1,1
2544,3,4,32,1,1
2544,25,-196,168,1,0
2544,1,4,18,1,1
2544,23,237,22,1,0
2544,1,10,15,1,1
2544,15,-150,16,1,1
2544,1,6,10,1,1
2544,20,-158,133,1,0
2544,21,-7,214,1,0
2544,9,-27,94,1,0
2544,1,-3,19,1,1
2544,1,-10,10,1,1
2544,27,63,267,1,1
2544,4,-32,30,1,0
2544,26,-26,264,1,1
2544,26,-141,230,1,0
2544,25,123,225,1,0
2544,2,24,11,1,0
2544,7,-73,16,1,0
2544,2,-26,12,1,1
2544,22,-3,224,1,1
2544,22,-227,16,1,0
2544,3,-33,20,1,1
2544,3,18,24,1,1
2544,3,22,24,1,1
2544,25,-143,217,1,1
2544,26,-58,259,1,1
2544,20,198,33,1,0
2544,26,-70,257,1,1
2544,26,4,262,1,0
2544,27,-161,221,1,0
2544,1,6,16,1,1
2544,21,-93,190,1,1
2544,25,166,197,1,0
2544,3,-11,29,1,0
2544,0,-7,4,1,1
2544,14,-100,106,1,0
2544,4,-46,7,1,1
2544,26,-127,238,1,1
2544,19,144,135,1,0
2544,2,5,22,1,0
2544,2,-18,10,1,1
2544,1,14,14,1,0
2544,1,-16,4,1,0
2544,24,229,94,1,0
2544,1,-9,17,1,1
2544,2,-18,10,1,0
2544,1,-16,5,1,0
2544,1,-10,13,1,1
2544,1,13,3,1,1
2544,1,-14,5,1,1
2544,6,-67,-5,1,1
2544,26,-186,189,1,0
2544,2,-29,4,1,1
2544,2,-7,27,1,0
2544,26,177,200,1,0
2544,15,-107,110,1,1
2544,18,-168,69,1,0
2544,23,232,1,1,0
2544,25,-185,181,1,0
2544,19,-190,-13,1,0
2544,26,-201,178,1,0
2544,0,-8,2,1,1
2544,12,-117,55,1,1
2544,14,134,50,1,0
2544,25,-175,184,1,0
2544,0,9,1,1,0
2544,0,-6,6,1,1
2544,14,146,10,1,1
2544,27,-107,248,1,1
2544,2,22,6,1,0
2544,2,-20,15,1,0
2544,25,-55,248,1,0
2544,19,-143,134,1,1
2544,24,-43,245,1,1
2544,26,46,258,1,0
2544,25,-59,250,1,0
2544,1,-8,8,1,1
2544,0,7,5,1,1
2544,14,-143,-8,1,1
2544,19,-92,169,1,0
2544,2,-19,17,1,0
2544,25,-194,166,1,0
2544,25,-118,224,1,1
2544,16,147,73,1,0
2544,10,56,89,1,0
2544,3,20,25,1,0
2544,1,3,13,1,1
2544,1,2,15,1,1
2544,22,228,15,1,1
2544,27,-193,199,1,0
2544,2,-11,18,1,1
2544,21,-123,172,1,1
2544,1,5,11,1,1
2544,27,-186,206,1,0
2544,1,-3,18,1,1
2544,21,-141,164,1,0
2544,22,-228,-14,1,1
2544,25,-166,188,1,1
2544,0,0,-6,1,0
2544,1,-6,14,1,1
2544,1,11,13,1,1
2544,2,9,19,1,0
2544,18,9,188,1,1
2544,0,0,-6,1,1
2544,5,-4,58,1,0
2544,27,152,230,1,0
2544,5,-32,48,1,0
2544,26,180,190,1,0
2544,3,-14,33,1,0
2544,2,11,20,1,0
2544,10,-98,31,1,0
2544,3,-20,28,1,0
2544,3,-1,31,1,0
2544,0,0,-6,1,1
2544,0,1,3,1,1
2544,25,-195,162,1,0
2544,11,67,94,1,1
2544,0,8,5,1,0
2544,1,5,13,1,1
2544,1,2,11,1,1
2544,0,-4,9,1,0
2544,1,-9,12,1,0
2544,20,-116,172,1,1
2544,1,-1,16,1,1
2544,1,-16,7,1,0
2544,6,-14,60,1,0
2544,2,-25,1,1,0
2544,1,-9,12,1,1
2544,26,-221,139,1,1
2544,30,-47,306,1,0
2544,27,-62,273,1,0
2544,12,113,50,1,0
2544,15,-120,90,1,1
2544,26,-75,250,1,1
2544,27,169,218,1,0
2544,20,-16,206,1,1
2544,1,8,13,1,0
2544,0,0,-6,1,1
2544,1,14,3,1,1
2544,2,22,9,1,1
2544,17,-46,172,1,1
2544,21,172,133,1,1
2544,25,-41,247,1,0
2544,23,231,37,1,0
2544,7,-70,34,1,0
2544,1,-2,13,1,1
2544,25,11,257,1,0
2544,22,-32,219,1,0
2544,1,10,13,1,0
2544,15,-127,80,1,1
2544,21,37,215,1,1
2544,16,76,142,1,0
2544,20,16,205,1,0
2544,2,-4,27,1,1
2544,26,12,264,1,1
2544,25,-131,218,1,0
2544,24,-152,197,1,0
2544,1,-4,17,1,0
2544,2,11,26,1,0
2544,0,2,9,1,1
2544,2,9,20,1,1
2544,27,-97,256,1,0
2544,3,-1,32,1,1
2544,21,-148,158,1,0
2544,2,-23,12,1,1
2544,17,134,110,1,1
2544,28,-125,256,1,1
2544,2,2,28,1,0
2544,11,-104,44,1,1
2544,3,-11,28,1,0
2544,28,-114,259,1,0
2544,3,-11,33,1,1
2544,27,150,228,1,0
2544,0,-6,-1,1,1
2544,1,8,6,1,1
2544,1,-3,13,1,0
2544,2,-18,16,1,1
2544,27,179,214,1,1
2544,6,1,66,1,0
2544,0,-2,6,1,1
2544,27,197,187,1,1
2544,8,-37,74,1,1
2544,25,-136,220,1,0
2544,28,-85,267,1,1
2544,30,-174,248,1,1
2544,29,-55,289,1,0
2544,19,-114,162,1,1
2544,27,85,258,1,0
2544,34,-193,281,1,0
2544,22,-55,223,1,0
2544,15,144,50,1,0
2544,3,13,32,1,1
2544,26,182,197,1,1
2544,25,101,238,1,1
2544,25,-118,221,1,0
2544,12,105,75,1,0
2544,0,2,9,1,1
2544,2,-2,21,1,1
2544,1,3,14,1,1
2544,1,-5,16,1,1
2544,1,13,14,1,0
2544,1,0,15,1,1
2544,9,-41,86,1,1
2544,10,102,20,1,0
2544,2,14,21,1,0
2544,25,112,233,1,0
2544,17,93,147,1,1
2544,8,8,80,1,0
2544,26,-18,263,1,1
2544,17,-159,71,1,0
2544,16,145,76,1,0
2544,11,-116,28,1,0
2544,3,-7,39,1,1
2544,26,-119,242,1,0
2544,26,154,211,1,1
2544,26,6,264,1,1
2544,23,-133,195,1,0
2544,20,203,48,1,0
2544,1,8,18,1,1
2544,1,0,11,1,1
2544,6,-56,37,1,0
2544,1,10,16,1,1
2544,15,73,134,1,0
2544,3,25,18,1,0
2544,0,7,4,1,1
2544,1,-18,8,1,1
2544,0,6,4,1,1
2544,25,-158,195,1,0
2544,7,-69,25,1,0
2544,3,38,8,1,0
2544,1,8,15,1,1
2544,1,13,8,1,1
2544,2,14,24,1,0
2544,26,-169,199,1,0
2544,16,159,48,1,0
2544,7,71,31,1,1
2544,0,6,2,1,0
2544,26,-8,269,1,0
2544,0,0,4,1,1
2544,1,16,2,1,1
2544,8,-46,70,1,0
2544,0,-2,2,1,1
2544,1,-12,7,1,1
2544,0,2,4,1,1
2544,0,4,5,1,0
2544,0,-8,4,1,1
2544,1,-17,8,1,1
2544,2,22,6,1,0
2544,21,71,205,1,1
2544,25,-51,248,1,0
2544,0,2,6,1,1
2544,25,-79,240,1,0
2544,25,-157,198,1,1
2544,23,-230,-11,1,1
2544,13,-136,0,1,0
2544,25,-228,111,1,0
2544,25,-174,180,1,0
2544,3,18,30,1,1
2544,1,-4,13,1,0
2544,0,-9,-4,1,1
2544,24,-141,201,1,0
2544,24,-140,206,1,0
2544,1,-14,9,1,1
2544,18,145,108,1,0
2544,5,25,52,1,0
2544,21,-75,197,1,1
2544,1,13,10,1,0
2544,0,2,5,1,1
2544,0,8,1,1,0
2544,0,-9,4,1,1
2544,1,1,16,1,1
2544,1,11,14,1,1
2544,24,-215,110,1,1
2544,3,34,11,1,1
2544,14,-143,7,1,0
2544,10,-46,91,1,1
2544,11,29,113,1,0
2544,27,-79,264,1,0
2544,2,26,6,1,0
2544,25,37,252,1,1
2544,26,14,260,1,1
2544,4,-33,23,1,0
2544,28,-164,230,1,1
2544,1,-13,7,1,1
2544,24,97,230,1,0
2544,26,-41,258,1,0
2544,1,-14,11,1,1
2544,23,-234,-4,1,1
2544,0,-5,5,1,1
2544,24,-200,143,1,0
2544,1,-18,3,1,1
2544,2,-16,22,1,0
2544,0,-6,3,1,1
2544,26,-110,246,1,0
2544,24,-204,137,1,0
2544,1,14,6,1,0
2544,2,-23,11,1,1
2544,3,-8,33,1,1
2544,21,139,167,1,1
2544,26,-134,231,1,1
2544,3,-30,18,1,0
2544,25,93,242,1,0
2544,1,16,4,1,0
2544,0,0,-6,1,1
2544,1,-14,6,1,1
2544,25,-160,203,1,0
2544,26,-114,237,1,1
2544,15,49,148,1,0
2544,3,-2,35,1,0
2544,0,-3,5,1,1
2544,1,3,14,1,1
2544,26,-127,232,1,1
2544,25,-143,216,1,1
2544,27,-151,224,1,0
2544,2,1,25,1,0
2544,28,-87,268,1,0
2544,28,-77,273,1,1
2544,2,4,27,1,1
2544,16,-116,113,1,1
2544,28,-63,280,1,0
2544,24,147,201,1,0
2544,1,-4,11,1,1
2544,1,3,16,1,1
2544,2,3,25,1,1
2544,26,206,169,1,0
2544,1,8,11,1,1
2544,2,-15,20,1,1
2544,1,6,11,1,1
2544,2,-4,24,1,1
2544,25,146,209,1,0
2544,15,-145,48,1,0
2544,25,-212,142,1,0
2544,2,2,23,1,0
2544,2,-8,20,1,1
2544,13,43,125,1,0
2544,3,2,34,1,1
2544,2,-2,20,1,1
2544,2,-7,25,1,1
2544,25,249,55,1,0
2544,2,27,12,1,0
2544,17,81,151,1,1
2544,1,13,8,1,1
2544,2,20,14,1,1
2544,0,5,0,1,1
2544,23,-231,-6,1,1
2544,17,-95,142,1,0
2544,1,-14,6,1,0
2544,26,-53,257,1,0
2544,1,-11,8,1,0
2544,18,-83,160,1,0
2544,4,31,31,1,0
2544,2,-17,20,1,1
2544,1,-1,11,1,1
2544,2,-22,15,1,1
2544,14,141,17,1,0
2544,26,-99,246,1,0
2544,25,-217,131,1,0
2544,0,0,-6,1,1
2544,7,-37,62,1,0
2544,3,25,25,1,1
2544,4,17,45,1,1
2544,2,-16,14,1,1
2544,25,-185,178,1,0
2544,17,-102,148,1,1
2544,26,114,235,1,1
2544,28,-73,272,1,0
2544,18,-119,141,1,1
2544,5,57,14,1,0
2544,13,-87,106,1,0
2544,24,-217,109,1,0
2544,2,13,24,1,1
2544,17,-70,162,1,0
2544,20,208,27,1,0
2544,26,79,254,1,0
2544,2,-25,11,1,1
2544,27,-61,264,1,0
2544,3,-2,39,1,0
2544,8,-5,83,1,1
2544,16,-2,160,1,0
2544,0,-3,3,1,1
2544,2,25,8,1,0
2544,13,136,6,1,0
2544,18,-114,143,1,1
2544,4,41,27,1,1
2544,25,-74,248,1,1
2544,24,196,148,1,0
2544,19,-192,30,1,0
2544,3,1,30,1,0
2544,1,-4,14,1,1
2544,24,143,202,1,0
2544,1,-14,12,1,1
2544,26,-121,233,1,1
2544,27,18,277,1,1
2544,29,-133,268,1,1
2544,27,-176,215,1,0
2544,29,-39,294,1,0
2544,9,3,94,1,0
2544,2,-27,2,1,1
2544,2,16,16,1,0
2544,16,-154,50,1,0
2544,1,-12,6,1,1
2544,26,-100,241,1,0
2544,8,-62,56,1,0
2544,2,-16,15,1,1
2544,1,-3,17,1,1
2544,2,22,17,1,0
2544,26,-179,200,1,1
2544,2,13,26,1,0
2544,27,120,246,1,1
2544,25,-97,235,1,0
2544,4,8,40,1,1
2544,4,16,40,1,1
2544,26,-188,190,1,1
2544,8,-5,81,1,0
2544,31,-133,281,1,1
2544,5,-14,48,1,0
2544,27,-84,259,1,0
2544,3,-5,33,1,1
2544,17,-110,132,1,0
2544,2,0,26,1,1
2544,26,-169,200,1,1
2544,26,182,199,1,1
2544,26,117,236,1,0
2544,3,-20,29,1,0
2544,3,28,17,1,0
2544,14,-54,131,1,1
2544,12,20,121,1,1
2544,26,-100,242,1,0
2544,4,35,21,1,0
2544,0,0,-6,1,1
2544,3,25,22,1,1
2544,14,-106,101,1,1
2544,2,21,20,1,1
2544,2,-7,23,1,1
2544,6,53,38,1,0
2544,19,-160,103,1,1
2544,24,-151,197,1,0
2544,25,134,220,1,0
2544,3,-29,11,1,0
2544,12,-123,9,1,0
2544,1,-15,6,1,1
2544,1,-4,16,1,0
2544,1,-14,1,1,1
2544,27,87,266,1,1
2544,2,-18,13,1,0
2544,28,123,258,1,0
2544,23,-231,20,1,0
2544,0,5,2,1,0
2544,26,-8,260,1,1
2544,16,75,147,1,0
2544,1,10,6,1,1
2544,10,47,94,1,0
2544,17,82,154,1,0
2544,23,231,42,1,0
2544,1,-13,11,1,1
2544,8,81,6,1,1
2544,1,3,12,1,0
2544,27,0,273,1,0
2544,1,19,4,1,1
2544,1,9,17,1,1
2544,27,-129,247,1,1
2544,29,-5,290,1,1
2544,26,11,262,1,1
2544,26,14,260,1,0
2544,14,-140,22,1,0
2544,2,16,13,1,1
2544,1,-11,5,1,1
2544,16,81,142,1,0
2544,1,3,11,1,1
2544,1,1,10,1,1
2544,12,-100,75,1,0
2544,0,-4,8,1,0
2544,1,0,13,1,1
2544,25,-97,234,1,0
2544,1,1,15,1,1
2544,25,-211,142,1,1
2544,1,6,13,1,1
2544,12,39,117,1,1
2544,1,-3,11,1,1
2544,27,-116,245,1,1
2544,25,79,238,1,0
2544,35,-51,354,1,1
2544,33,-139,309,1,0
2544,25,218,138,1,0
2544,21,-197,83,1,0
2544,1,6,15,1,1
2544,25,124,221,1,1
2544,25,122,228,1,0
2544,27,-50,273,1,0
2544,17,-133,108,1,0
2544,1,6,11,1,1
2544,1,5,15,1,0
2544,0,0,-6,1,1
2544,1,-2,14,1,1
2544,2,-11,26,1,1
2544,0,5,6,1,1
2544,0,2,5,1,1
2544,25,-227,109,1,0
2544,6,34,55,1,0
2544,5,6,58,1,0
2544,1,-5,15,1,0
2544,1,3,10,1,0
2544,28,-183,212,1,0
2544,26,-3,268,1,0
2544,6,62,32,1,1
2544,5,0,50,1,1
2544,26,214,149,1,0
2544,27,-22,270,1,0
2544,27,-145,237,1,0
2544,2,0,26,1,0
2544,4,-30,38,1,0
2544,20,-114,170,1,0
2544,26,93,252,1,0
2544,3,18,25,1,0
2544,17,-5,178,1,0
2544,25,-228,112,1,1
2544,2,6,21,1,1
2544,2,19,11,1,0
2544,1,2,13,1,1
2544,1,5,11,1,1
2544,21,99,193,1,0
2544,27,-152,231,1,1
2544,24,-220,104,1,0
2544,29,165,246,1,0
2544,18,103,157,1,1
2544,27,-145,232,1,1
2544,7,57,52,1,1
2544,26,-131,226,1,0
2544,26,-207,164,1,0
2544,7,-26,72,1,0
2544,5,-26,51,1,0
